id,fund,name,slug,fund_url,sectors,website,description,stage,stage_year,founded_year,invested_year,logo_url,source_modified,ticker_symbol,acquirer,founders
1,owl-ventures,Abl,abl,https://www.owlvc.com/portfolio/abl,Pre K-12,https://www.ablschools.com/,Abl offers a cloud-based platform that provides district leaders with insights by analyzing the fundamental blueprint for every school - the schedule - and tools to support school leaders to take action on those insights for systemic improvement.,Acquired,,2015,2016,https://cdn.prod.website-files.com/6888a2feaeb58a0dabd9d905/6965dda62df04963c3a20fc5_Abl-aBLco-Midnight-2-g-3.svg,,,BetterLesson,Adam Pisoni
2,owl-ventures,Accelerate Learing,accelerate-learing,https://www.owlvc.com/portfolio/accelerate-learing,Pre K-12,http://stemscopes.com,"STEMscopes' mission is to empower teachers to focus on effective instruction, rather than on devoting time to a search for quality resources and materials.",Acquired,,2013,,https://cdn.prod.website-files.com/6888a2feaeb58a0dabd9d905/6965ddce0c4969873cf72a33_Accelerate%20Learning_logo%20new.svg,,,Providence Equity Partners,Reid Whitaker
3,owl-ventures,Amira Learning,amira,https://www.owlvc.com/portfolio/amira,Pre K-12,https://amiralearning.com/,"Amira listens to young students read aloud, assesses reading mastery, and provides real-time, personalized tutoring for every child. Amira is the first Intelligent Reading Assistant that accelerates reading mastery.",,,2017,2019,https://cdn.prod.website-files.com/6888a2feaeb58a0dabd9d905/6888a2feaeb58a0dabd9daeb_Frame%202085665565%20-%202025-06-28T014035.928.svg,,,,Pete Jungwirth
4,owl-ventures,Answersnow,answersnow,https://www.owlvc.com/portfolio/answersnow,Pre K-12,https://www.getanswersnow.com/,AnswersNow hand-matches individuals with autism and their families directly with one of our dedicated Master’s or PhD-level clinicians for ABA therapy and Caregiver Training delivered on our proprietary virtual platform.,,,2017,,https://cdn.prod.website-files.com/6888a2feaeb58a0dabd9d905/6888a2feaeb58a0dabd9dae9_Frame%202085665565%20-%202025-06-28T013921.066.svg,,,,Adam Dreyfus
5,owl-ventures,Apna,apna,https://www.owlvc.com/portfolio/apna,Future of Work,https://apna.co/,Apna follows a tech-driven approach to use the power of communities and enable access to better jobs and entrepreneurship for millions of Apna’s users.,,,2019,,https://cdn.prod.website-files.com/6888a2feaeb58a0dabd9d905/6888a2feaeb58a0dabd9dae7_Frame%202085665565%20-%202025-06-28T013826.227.svg,,,,
6,owl-ventures,Authentica,authentica,https://www.owlvc.com/portfolio/authentica,Pre K-12;Post-Secondary,https://authenticasolutions.com/,Authentica Solutions is an Education Cloud solutions company specializing in intelligence management for education.,,,2022,,https://cdn.prod.website-files.com/6888a2feaeb58a0dabd9d905/6888a2feaeb58a0dabd9dae5_Frame%202085665565%20-%202025-06-28T013707.932.svg,,,,Gene Garcia
7,owl-ventures,Authoritive,authoritive,https://www.owlvc.com/portfolio/authoritive,Future of Work,https://www.authoritive.com/,"Authoritive builds social learning experiences that use audio, video and interactive text instruction delivered over messaging.",Acquired,,2019,,https://cdn.prod.website-files.com/6888a2feaeb58a0dabd9d905/6888a2feaeb58a0dabd9dae3_Frame%202085665565%20-%202025-06-28T013546.398.svg,,,Axio,
8,owl-ventures,Bakpax,bakpax,https://www.owlvc.com/portfolio/bakpax,Pre K-12,#,"Bakpax helps teachers be teachers, not graders by reading student handwriting and grading assignments.",Acquired,,2017,2017,https://cdn.prod.website-files.com/6888a2feaeb58a0dabd9d905/6888a2feaeb58a0dabd9dae1_Frame%202085665565%20-%202025-06-28T013237.382.svg,,,Teachers Pay Teachers,
9,owl-ventures,BenchPrep,benchprep,https://www.owlvc.com/portfolio/benchprep,Future of Work,https://www.benchprep.com/,Benchprep helps the world’s leading organizations offer learning experiences that are tailored for increased engagement and achievement.,,,2010,2018,https://cdn.prod.website-files.com/6888a2feaeb58a0dabd9d905/6888a2feaeb58a0dabd9dadf_Frame%202085665565%20-%202025-06-28T013136.932.svg,,,,Ujjwal Gupta
10,owl-ventures,BetterLesson,betterlesson,https://www.owlvc.com/portfolio/betterlesson,Pre K-12,https://betterlesson.com/,Empowering educators to prepare students for success in a rapidly changing world.,,,2008,2017,https://cdn.prod.website-files.com/6888a2feaeb58a0dabd9d905/6888a2feaeb58a0dabd9dadd_Frame%202085665565%20-%202025-06-28T012946.497.svg,,,,"Erin Osborn, Alex Grodd"
11,owl-ventures,Bling,bling,https://www.owlvc.com/portfolio/bling,Pre K-12,https://www.bling.de/,Bling supports families in organizing their lives and building their media and financial skills through a super app.,,,2021,,https://cdn.prod.website-files.com/6888a2feaeb58a0dabd9d905/6888a2feaeb58a0dabd9dadb_Frame%202085665565%20-%202025-06-28T012836.627.svg,,,,Leon Stephan
12,owl-ventures,BorderPlus,borderplus,https://www.owlvc.com/portfolio/borderplus,,https://borderplus.co/,"A workforce mobility platform connecting skilled Indian professionals, especially nurses, with top German healthcare organizations.",,,2024,,https://cdn.prod.website-files.com/6888a2feaeb58a0dabd9d905/6888a2feaeb58a0dabd9db09_Frame%202085665565%20-%202025-07-11T021749.152.svg,,,,
13,owl-ventures,Brisk Teaching,brisk,https://www.owlvc.com/portfolio/brisk,Pre K-12,https://www.briskteaching.com/,Brisk Teaching is an AI-powered Chrome extension that helps teachers automate their workload.,,,2023,,https://cdn.prod.website-files.com/6888a2feaeb58a0dabd9d905/6888a2feaeb58a0dabd9dad9_Frame%202085665565%20-%202025-06-28T012155.795.svg,,,,
14,owl-ventures,Class,class,https://www.owlvc.com/portfolio/class,Pre K-12;Future of Work,https://www.class.com/,"Class adds teaching and learning tools to Zoom and makes the virtual classroom feel like a real classroom. It helps teachers take attendance, hand out assignments, give a quiz or test, grade work, proctor exams, talk one-on-one with a student, and more.",,,2020,,https://cdn.prod.website-files.com/6888a2feaeb58a0dabd9d905/6888a2feaeb58a0dabd9dad7_Frame%202085665565%20-%202025-06-28T011734.169.svg,,,,
15,owl-ventures,Classplus,classplus,https://www.owlvc.com/portfolio/classplus,Future of Work,https://classplusapp.com/,Classplus offers a digital platform facilitating educators to deliver quality education and enabling students and parents to access quality education.,,,2018,,https://cdn.prod.website-files.com/6888a2feaeb58a0dabd9d905/6888a2feaeb58a0dabd9dad5_Frame%202085665565%20-%202025-06-28T011510.663.svg,,,,
16,owl-ventures,Cloudforce,cloudforce,https://www.owlvc.com/portfolio/cloudforce,Future of Work,https://gocloudforce.com/,"The leading force in the Microsoft cloud, Cloudforce creates, migrates, and maintains custom cloud solutions for businesses and government. In every engagement, Cloudforce serves as a trusted partner to help clients define and refine their technology needs. Cloudforce then crafts and deploys accessible, scalable, and secure solutions to help clients manage and grow their business in efficient and innovative ways. Cloudforce staff live and breathe the Microsoft cloud, and provide every customer with the best technology strategy for their organization’s goals and challenges. Cloudforce prizes every business relationship as a new opportunity to connect, collaborate, and help enrich lives—across businesses, communities, and beyond.",,,2010,2025,https://cdn.prod.website-files.com/6888a2feaeb58a0dabd9d905/698a7a79988a5be080bdd468_Cloudforce.svg,,,,
17,owl-ventures,Coala,coala,https://www.owlvc.com/portfolio/coala,Pre K-12,https://coalasaude.com.br/,Coala is the first telehealth platform for schools in LatAm.,,,2022,,https://cdn.prod.website-files.com/6888a2feaeb58a0dabd9d905/6888a2feaeb58a0dabd9dad3_Frame%202085665565%20-%202025-06-28T011327.991.svg,,,,"Mateus Mattos, Matheus Peressoni"
18,owl-ventures,Codecademy,codecademy,https://www.owlvc.com/portfolio/codecademy,Pre K-12,https://www.codecademy.com/,"Codecademy wants to create a world where anyone can build something meaningful with technology, and everyone has the learning tools, resources, and opportunities to do so.",Acquired,,2011,2021,https://cdn.prod.website-files.com/6888a2feaeb58a0dabd9d905/6888a2feaeb58a0dabd9dad1_Frame%202085665565%20-%202025-06-28T011214.867.svg,,,Skillsoft (NYSE:SKIL),Ryan Bubinski
19,owl-ventures,Deephow,deephow,https://www.owlvc.com/portfolio/deephow,Future of Work,https://www.deephow.com/,"DeepHow bridges the knowledge gap in skilled labor with our unique AI-powered, video-centric platform.",,,2018,,https://cdn.prod.website-files.com/6888a2feaeb58a0dabd9d905/6888a2feaeb58a0dabd9dacf_Frame%202085665565%20-%202025-06-28T011054.471.svg,,,,"Sam Zheng, Patrik Matos, Wei-Liang Kao"
