id,fund,name,sectors,website,description,stage,stage_year,founded_year,invested_year,pmo_score,pmo_traj,pmo_mat,pmo_collab,pmo_game,pmo_feedback,pmo_notes,assigned_agent,agent_sredstvo,agent_status,relevance,rationale
78,a16z-speedrun,Spark Space,AI;Edtech,https://www.sparkspace.ai,"Spark Space: The AI Writing Tutor That Truly Connects with Students
Students LOVE Spark Space because it feels like a real tutor who understands them—their interests, their struggles, and their passions. More than just an AI, it bonds with them like a friend, making writing feel personal, engaging, and even fun. With a gamified experience inspired by Duolingo and their favorite video games, students see instant progress, keeping them motivated and excited to improve. And most importantly, Spark Space helps them get better at writing, giving immediate feedback so they can build confidence and earn higher grades.

Teachers LOVE Spark Space because it makes students actually excited to write. The AI tutor provides powerful insights into student writing, helping teachers focus on what matters most. And with automated draft grading, it saves hours of time—allowing teachers to spend less time grading and more time inspiring their students.",SR003,,2024.0,,6.4,5,9,1,8,9,"AI-тьютор по письму с глубокой адаптацией под интересы учащегося и геймификацией, но без компонентов совместной деятельности.",ИИ-агент формирующей обратной связи,Обратная связь,В разработке,8,"Spark Space предоставляет мгновенную развивающую обратную связь по письму, что напрямую соответствует функции ИИ-агента формирующей обратной связи."
222,a16z-speedrun,Quinn,Enterprise SaaS;AI,https://meetquinn.ai,"Traction
• $200K → $1.1M+ ARR in ~5 months
• 65+ customers
• Growing ACV + multiple 6-figure deals
Why Now
• Frontline workforce (2.7B people) lacks scalable training infrastructure.
• Training is a $400B market, primarily to pay humans to train other humans.
• We're turning this massive services industry into software margins.

Team
• Ben Anderson (Amino: 20M+ users, $70M raised, acquired)
• Arlen Marmel (early Hulu + Crunchyroll, $1B+ exit)

Hit LIKE to get in touch!",SR006,,2025.0,,5.2,5,7,2,5,7,"Платформа использует ИИ для адаптации обучения, но персонализация траектории и геймификация не раскрыты, а социальные функции, вероятно, минимальны.",ИИ-генератор контента,Учебные материалы,Протестировать,7,"Стартап создаёт масштабируемую инфраструктуру для обучения frontline-персонала, в основе которой лежит ИИ-генерация учебных материалов, что наиболее близко к агенту ИИ-генератор контента."
233,a16z-speedrun,Straia,AI;Edtech;Enterprise SaaS,https://straia.io,"$4.5M committed ARR* in 4 weeks.

Straia is the agentic AI platform replacing legacy software across higher education. We unify siloed institutional data and deploy AI agents to analyze and act on that data.

Building the AI-native operating system for every college in America.

*In contracting",SR006,,2025.0,,0.0,0,0,0,0,0,"Продукт не является образовательным, это корпоративная SaaS-платформа для управления данными вузов, а не для обучения.",unmatched,,,0,"Стартап представляет собой институциональную AI-платформу для объединения данных и автоматизации процессов вузов, что не соответствует ни одному агенту каталога, ориентированного на персонализированное обучение, контент, обратную связь, геймификацию или совместную деятельность."
269,a16z,AltSchool,,https://altitudelearning.com,"AltSchool is a collaborative community of micro-schools that uses outstanding teachers, deep research, and innovative tools to offer a personalized ?whole child? learning experience for the next generation.

They believe that every child should have access to an exceptional, personalized education that enables them to be happy and successful in an ever-changing world.",M&A,,,,7.0,9,9,7,2,8,"AltSchool сочетает персонализированные траектории и адаптивные материалы с сильной обратной связью, но геймификация отсутствует.",ИИ-агент генерации траектории,Персонализированная траектория,Протестировать,9,"Стартап AltSchool реализует персонализированное обучение на основе индивидуальной траектории каждого ребёнка, что наиболее близко к агенту генерации адаптивного пошагового плана обучения."
393,a16z,CodeCombat,,https://codecombat.com,"CodeCombat is a multiplayer programming game for learning how to code. CodeCombat creates game-based computer science programs that engage and captivate students as they learn to type real code. With thousands of schools and millions of students, CodeCombat is bringing K12 computer science education to everyone, regardless of gender, race, or background.",Venture,,,,7.0,5,5,7,10,8,"CodeCombat — это геймифицированная платформа для обучения программированию с многопользовательскими режимами и мгновенной обратной связью, но с ограниченными возможностями персонализации учебного пути и адаптации материалов.","Миссии, челленджи, соревнования",Геймификация и визуализация,В разработке,8,"CodeCombat реализует обучение через многопользовательские миссии, челленджи и соревнования с кодом, что наиболее близко к агенту, создающему игровые мотивационные элементы в виде миссий и соревнований."
501,a16z,Flash Hoops,,https://www.flashhoops.com/,"Veronica Peterson, born in Gary, Indiana and raised in Chicago, was introduced to basketball by her father as a toddler. She committed and played the sport throughout high school, college, and eventually professionally abroad. While competing overseas, she developed an interest in business and decided to pursue a masters degree in computer science so she could build companies that had a purpose. As a result, she founded FlashHoops, a mobile platform that helps children learn math while receiving one-on-one basketball skill training from their favorite athlete.",,,,,4.2,2,2,7,2,8,"Платформа успешно использует наставничество спортсменов для обратной связи и совместной деятельности, но слабо персонализирует учебную траекторию и материалы.",unmatched,,,0,"Стартап представляет собой платформу для обучения математике через индивидуальные тренировки по баскетболу со звёздами спорта, что не соответствует ни одному специализированному ИИ-агенту из каталога."
512,a16z,Formation,,https://formation.dev,"Formation is a remote fellowship for ambitious software engineers looking to land the next step in their career. Fellows work directly with senior engineers from companies like Google, Uber, Oracle and more to build features and debug production issues in real consumer facing applications. They learn the computer sciencefundamentals they need to think like a software engineer and solve the world's most challenging problems.
Our unparalleled outcomes are a result of our relentless focus on engineering principles and building a community of the best engineers in the industry. Our fellows regularly get hired at companies like Facebook, Google, LinkedIn, etc.",Seed,,,,5.0,5,4,7,1,8,"Программа менторства с персонализированной обратной связью и сообществом, но без геймификации и с ограниченной адаптивностью материалов.",unmatched,,,5,"Стажировка-менторинг для инженеров с персональной обратной связью перекликается с формирующей обратной связью, но это человеческое наставничество для взрослых вне школьной ПМО — совпадение слабое."
637,a16z,Labster,,https://www.labster.com/,Labster empowers educators to reimagine their science courses with immersive online simulations.,Growth,,2011.0,,5.2,3,5,2,8,8,"Продукт является образовательным, основная ценность в геймифицированных симуляциях и обратной связи, но персонализация траектории и совместная деятельность выражены слабо.",Игровой учебный контент,Учебные материалы,Протестировать,8,"Labster предоставляет иммерсивные научные симуляции в игровом формате, что ближе всего к агенту 'Игровой учебный контент', который создаёт интерактивные игровые модули для освоения материала."
677,a16z,Maven,,https://maven.com/,Maven is a developer of an online cohort-based leadership program designed to create a community where anyone can start their own course.,Venture,,,,3.4,2,2,9,2,2,"Maven — образовательная платформа для когортного обучения, что обеспечивает сильное взаимодействие, но персонализация траектории и материалов отсутствует, а геймификация и автоматическая обратная связь не предусмотрены.",unmatched,,,0,"Стартап Maven — платформа для создания когортных курсов, не является узкоспециализированным ИИ-агентом из каталога."
807,a16z,Prisms,,https://prismsvr.com/,Prisms is a spatial learning platform that enables learners to grasp abstract math and science concepts through embodied real world problems.,Venture,,,,2.6,2,3,1,3,4,"Платформа предлагает иммерсивное изучение математики и науки через пространственные задачи, но практически не имеет персонализации учебного пути, ограничена в адаптации материалов и социальном взаимодействии.",Игровой учебный контент,Учебные материалы,Протестировать,7,"Prisms реализует обучение через игровое взаимодействие с реальными задачами, что напрямую соответствует назначению агента создания игрового учебного контента."
840,a16z,Reforge,,https://www.reforge.com,"Reforge helps a company grow through initiatives for product and expansion. They provide programs that enable step-change career progress through pertinent cases, experiences, and a group of peers tackling comparable problems.",Venture,,,,3.2,3,2,8,1,2,"Reforge предлагает программы профессионального развития с акцентом на коллаборативное обучение, но с ограниченной персонализацией траектории и материалов.",Пространство для работы в группе,Совместная деятельность и общение,В разработке,7,"Стартап Reforge создаёт среду для группового обучения и обмена опытом среди профессионалов, что наиболее близко к виртуальному рабочему пространству для группового взаимодействия."
1013,a16z,Udacity,,https://www.udacity.com/,"Our mission is to bring accessible higher education to the world. We seek to empower our students to develop their skills through learning by doing and to advance their education and careers. We believe that higher education is a basic human right, and it should be available to everyone, everywhere, and any time. And we strive to develop education that is fun, engaging, and effective.",M&A,,,,3.8,2,4,6,2,5,"Udacity предлагает фиксированные программы с небольшими возможностями выбора контента и социальными функциями, но без персонализации траектории и геймификации.",ИИ-профориентолог,Персонализированная траектория,В разработке,7,"Udacity фокусируется на карьерно-ориентированном обучении и связывает учебные цели с профессиональными перспективами, что напрямую соответствует назначению ИИ-профориентолога."
1080,brighteye,Hack The Box,Work,https://www.hackthebox.com/,"The leading gamified cybersecurity upskilling, certification, and talent assessment platform.",,,,,6.6,8,5,7,10,3,"Платформа успешно геймифицирует обучение и даёт свободу выбора, но практически не адаптирует контент под ученика и предоставляет лишь базовую обратную связь.","Миссии, челленджи, соревнования",Геймификация и визуализация,В разработке,10,"Платформа Hack The Box по gamified cybersecurity полностью совпадает с агентом, создающим миссии, челленджи и соревнования для мотивации."
1081,brighteye,Seven Education,Learning,https://www.7education.com/,The operating system for schools & nurseries,,,,,1.4,1,1,3,0,2,"Продукт позиционируется как операционная система для школ, сосредоточенная на административных задачах, без явных механизмов персонализации обучения, что объясняет минимальные оценки по всем инструментам PMO.",unmatched,,,0,"Стартап — это операционная система для школ и детских садов, не совпадающая по назначению ни с одним из специализированных ИИ-агентов каталога."
1082,brighteye,Ornikar,Learning,https://www.ornikar.com/,"The all-in-one platform for learning to drive, finding instructors and getting insured.",,,,,4.8,4,4,5,6,5,"Платформа для обучения вождению предлагает некоторую персонализацию и геймификацию, но учебная траектория и материалы остаются в основном стандартизированными.",unmatched,,,0,"Платформа для обучения вождению, поиска инструкторов и страхования не соответствует функциональности ни одного из представленных ИИ-агентов, ориентированных на персонализированные учебные процессы в общем образовании."
1091,brighteye,Tandem,,https://www.tandem.net,,,,,,6.8,9,4,10,5,6,"Tandem — это приложение для языкового обмена, где персонализированная траектория и совместная деятельность являются ключевыми, но учебные материалы и геймификация развиты слабо.",Пространство для работы в группе,Совместная деятельность и общение,В разработке,8,"Стартап Tandem с ядром совместной деятельности (оценка 10) скорее всего представляет платформу для групповой работы учащихся, что наиболее близко к виртуальному рабочему пространству для групповой работы (агент 39)."
1131,edu-capital,360learning,Future of work,https://360learning.com,Collaborative LMS,,,,,5.0,5,4,9,3,4,"360learning — это LMS с сильным акцентом на совместное обучение, однако персонализация траекторий и адаптивные материалы выражены слабо, а обратная связь преимущественно социальная, не автоматизированная.",Пространство для работы в группе,Совместная деятельность и общение,В разработке,7,"Стартап 360learning — коллаборативная LMS, а агент 39 «Пространство для работы в группе» предоставляет виртуальное рабочее пространство с инструментами для группового взаимодействия, что является ключевым элементом совместного обучения."
1132,edu-capital,appscho,Future of education,https://www.appscho.com/,Application for school management for students,Acquired,,,,0.0,0,0,0,0,0,"Продукт не является образовательным, это приложение для управления школой, а не для обучения, поэтому не соответствует модели ПМО.",unmatched,,,1,"Стартап представляет собой общую платформу для управления школой для учеников, не соответствующую ни одному узкоспециализированному ИИ-агенту из каталога; ближайший агент — умный календарь (7), но это лишь возможная небольшая функция, а не суть приложения."
1133,edu-capital,buddy,Future of education,https://buddy.ai/fr/,AI-based language tutor for children,,,,,5.2,5,6,2,5,8,"AI-репетитор языка для детей, вероятно, адаптирует контент и даёт обратную связь, но совместные и игровые элементы неочевидны из описания.",ИИ-помощник,Персонализированная траектория,Протестировать,8,"AI-based language tutor для детей выполняет функцию ИИ-ассистента, отвечающего на вопросы учеников, давая объяснения и подсказки в контексте обучения языку."
1135,edu-capital,codary,Future of education,https://codary.org,Online coding for children,,,,,4.2,5,4,2,5,5,"codary — это онлайн-платформа для обучения детей программированию; без подробной информации предполагаются базовые геймификация и обратная связь, но адаптивность и персонализация, скорее всего, ограничены.",ИИ-помощник,Персонализированная траектория,Протестировать,8,"Платформа онлайн-обучения детей программированию, скорее всего, включает ИИ-ассистента для ответов на вопросы и подсказок, что соответствует агенту 8."
1137,edu-capital,digischool,Future of education,https://www.digischool.fr,Educational apps for K12 and Higher Ed,,,,,2.2,2,2,2,2,3,"Продукт позиционируется как образовательные приложения, но описание не раскрывает механизмов персонализации, адаптивности или социального обучения, поэтому все инструменты PMO оценены минимально.",unmatched,,,0,"Стартап описывает образовательные приложения общего назначения, не совпадающие по сути ни с одним узкоспециализированным ИИ-агентом из каталога."
1138,edu-capital,edflex,Future of work,https://www.edflex.com,Content curation platform for corporate training,,,,,3.2,4,5,2,3,2,"Платформа для корпоративного обучения с курированием контента, но без явных признаков глубокой персонализации траектории или адаптивных материалов.",Библиотека контента,Учебные материалы,В разработке,8,"Платформа edflex занимается курированием контента для корпоративного обучения, что наиболее близко к агенту 'Библиотека контента', предоставляющему структурированный поиск и фильтрацию учебных материалов."
1139,edu-capital,opendigitaleducation,Future of education,https://opendigitaleducation.com/index.php?lang=fr,The social network for schools,Acquired,,,,4.4,2,3,9,5,3,"Социальная сеть для школ делает акцент на совместной деятельности, но не обеспечивает персонализированную траекторию обучения.",unmatched,,,5,"Стартап позиционируется как социальная сеть для школ, что частично пересекается с агентом «Пространство для работы в группе», предоставляющим виртуальное рабочее пространство для группового взаимодействия."
1140,edu-capital,emma,Future of education,https://apps.apple.com/fr/app/emma-parler-anglais/id6737470910,Conversational AI for language learning,,,,,5.6,6,9,2,2,9,"Продукт использует разговорный ИИ для изучения языков, что обеспечивает высокую адаптацию материалов и мгновенную обратную связь, но отсутствуют социальное взаимодействие и геймификация.",ИИ-помощник,Персонализированная траектория,Протестировать,7,"Стартап emma — это разговорный ИИ для изучения языков, что наиболее близко к агенту 8 (ИИ-помощник), который в диалоговом формате отвечает на вопросы ученика и даёт пояснения, реализуя conversational AI-подход."
1141,edu-capital,engageli,Future of education,https://www.engageli.com,The “Zoom” for education,,,,,2.4,1,1,7,1,2,"Платформа для видеоконференций в образовании обеспечивает высокий уровень совместной деятельности, но не предоставляет персонализацию траектории, адаптивность материалов, геймификацию или автоматизированную обратную связь.",Видео сервис,Совместная деятельность и общение,Протестировать,9,"Стартап engageli позиционируется как 'Zoom для образования', что напрямую соответствует агенту видеосервиса с комнатами для групповой онлайн-работы."
1142,edu-capital,evidenceb,Future of education,https://evidenceb.fr,Adaptive learning platform for K12,,,,,4.8,3,9,1,3,8,"Адаптивная обучающая платформа для школьников с высокой персонализацией материалов и обратной связью, но отсутствием элементов совместной деятельности и ограниченной траекторией.",ИИ-агент диагностики,Персонализированная траектория,В разработке,8,"Агент диагностики определяет текущий уровень знаний через серию заданий возрастающей сложности и адаптирует вход в программу, что является ядром адаптивной обучающей платформы для K12."
1143,edu-capital,femaleinvest,Future of education,https://www.femaleinvest.com,Financial education for women,,,,,1.4,1,2,1,1,2,"Продукт представляет собой базовое финансовое образование для женщин без детализации персонализированной траектории, адаптивных материалов или интерактивных элементов, поэтому оценки низкие.",Новые грамотности,Учебные материалы,В разработке,7,"Стартап обеспечивает финансовое образование для женщин, что соответствует модулям финансовой грамотности агента, хотя агент встраивает их в учебный процесс, а стартап может быть самостоятельной платформой."
