id,fund,name,website,sectors,pmo_score,relevance,group_id,functional_group,group_rationale
1169,edu-capital,vocal,https://apps.apple.com/fr/app/vocal-image-coach-vocal-ia/id1535324205,Future of education,6.4,6,G1,"Комплексные платформы, школы и курсы",Мобильный AI-коуч по коммуникативным навыкам (самостоятельное приложение).
1189,gsv-ventures,CoLearn,https://colearn.id/,K-12,2.8,6,G1,"Комплексные платформы, школы и курсы","Платформа, позволяющая репетиторам создавать онлайн-курсы."
1502,new-schools,"Oko Labs, Inc.",https://okolabs.ai,Learning Solutions,6.2,6,G1,"Комплексные платформы, школы и курсы",AI-платформа малогрупповой инструкции для педагогов.
1631,owl-ventures,Amira Learning,https://amiralearning.com/,Pre K-12,5.6,6,G1,"Комплексные платформы, школы и курсы",AI-ассистент чтения: слушает ученика и тьюторит (приложение).
1712,owl-ventures,Ulesson,https://ulesson.com/,Pre K-12;Post-Secondary,3.0,6,G1,"Комплексные платформы, школы и курсы","Комплексное обучающее приложение (видео-уроки, релевантная программа)."
1812,reach-capital,Tynker,https://www.tynker.com/,Learning,6.6,6,G1,"Комплексные платформы, школы и курсы",Самостоятельные геймифицированные курсы программирования для детей.
2228,y-combinator,Platzi,https://platzi.com,Education,4.0,6,G1,"Комплексные платформы, школы и курсы",Платформа курсов (дизайн/маркетинг/программирование) с коллаборацией.
2285,y-combinator,Scrimba,https://scrimba.com,Education,2.8,6,G1,"Комплексные платформы, школы и курсы",Платформа интерактивных курсов программирования (скринкасты).
1139,edu-capital,opendigitaleducation,https://opendigitaleducation.com/index.php?lang=fr,Future of education,4.4,5,G1,"Комплексные платформы, школы и курсы",Социальная сеть/среда взаимодействия для школ.
1616,new-schools,Vinn Labs LLC,https://www.simili.app,Learning Solutions,2.8,5,G1,"Комплексные платформы, школы и курсы",Голосовая математическая платформа с вербальным рассуждением.
1752,reach-capital,Iago,https://getiago.com/,Learning,5.2,5,G1,"Комплексные платформы, школы и курсы",Изучение языков через культурное погружение (приложение).
2299,y-combinator,EduRev,http://edurev.in,Education,3.6,5,G1,"Комплексные платформы, школы и курсы",Content-first платформа («Netflix для образования») с соцслоем.
2329,y-combinator,Quad,http://thequad.com,Education,1.8,5,G1,"Комплексные платформы, школы и курсы",Студенческое приложение управления задачами и сроками.
2326,y-combinator,Vidcode,http://vidcode.com,Education,3.6,4,G1,"Комплексные платформы, школы и курсы",Самоуправляемые курсы программирования для подростков (платформа).
1683,owl-ventures,Noodle Partners,https://www.noodle.com/,Post-Secondary,4.4,3,G1,"Комплексные платформы, школы и курсы",OPM: создание и управление онлайн-программами вузов.
677,a16z,Maven,https://maven.com/,,3.4,0,G1,"Комплексные платформы, школы и курсы",Платформа для создания и запуска когортных онлайн-курсов.
1137,edu-capital,digischool,https://www.digischool.fr,Future of education,2.2,0,G1,"Комплексные платформы, школы и курсы",Образовательные приложения общего назначения для K12 и вузов.
1144,edu-capital,fourthrev,https://fourthrev.com,Future of education,3.8,0,G1,"Комплексные платформы, школы и курсы",Платформа онлайн-курсов от tech-компаний и университетов.
1156,edu-capital,mentorshow,https://mentorshow.com,Future of education,0.0,0,G1,"Комплексные платформы, школы и курсы",Платформа онлайн-курсов от знаменитых менторов.
1168,edu-capital,tomorrow,https://www.tomorrow.university,Future of education,2.2,0,G1,"Комплексные платформы, школы и курсы",Целостный онлайн-университет.
1195,gsv-ventures,DISCO,https://www.disco.co,,3.0,0,G1,"Комплексные платформы, школы и курсы",Платформа для создателей живого онлайн-обучения (LMS).
1214,gsv-ventures,LEAD,https://leadschool.in/,K-12,1.2,0,G1,"Комплексные платформы, школы и курсы",Интегрированная школьная система (технологии+программа+педагогика).
1241,gsv-ventures,Speak,https://www.speak.com/,,5.2,0,G1,"Комплексные платформы, школы и курсы",AI-тьютор разговорной речи с мгновенной обратной связью (приложение).
1247,gsv-ventures,Toddle,https://www.toddleapp.com/,,7.0,0,G1,"Комплексные платформы, школы и курсы",All-in-one платформа: план/преподавание/оценивание/отчёты.
1256,gsv-ventures,Valenture Institute,https://www.valentureinstitute.com/,PreK-12,4.0,0,G1,"Комплексные платформы, школы и курсы",Глобальная частная онлайн-школа.
1272,learn-capital,Coursera,https://www.coursera.org/,education,4.0,0,G1,"Комплексные платформы, школы и курсы",MOOC-платформа курсов и степеней.
1288,learn-capital,Guidepost Global Education,https://guideposteducation.com/,education;community,4.8,0,G1,"Комплексные платформы, школы и курсы",Глобальная сеть Монтессори-школ с централизованной платформой.
1305,learn-capital,NewGlobe,https://newglobe.education/,education,2.0,0,G1,"Комплексные платформы, школы и курсы",Системный оператор школ для правительств (педагогика+данные+коучинг).
1322,learn-capital,SoloLearn,https://www.sololearn.com/,education,3.8,0,G1,"Комплексные платформы, школы и курсы",Мобильная платформа обучения программированию с сообществом.
1327,learn-capital,Teachable,https://teachable.com/,education,2.6,0,G1,"Комплексные платформы, школы и курсы",Платформа создания и продажи онлайн-курсов.
