id,fund,name,slug,fund_url,sectors,website,description,stage,stage_year,founded_year,invested_year,logo_url,source_modified,ticker_symbol,acquirer,founders
1,learn-capital,Amplify,amplify,https://learn.vc/ventures,education,https://amplify.com/,"Amplify develops next-generation instructional programs that blend research-driven pedagogy with engaging digital experiences. Designed for science, reading, and math, Amplify’s solutions help educators personalize learning, track progress in real time, and spark curiosity in every classroom. The company partners with districts across the U.S. and internationally to power a more dynamic and data-informed approach to teaching.",,,,,"https://images.prismic.io/learn-site/237e8296-e3d2-4af1-8fbd-cd53af14d703_Amplify_Education_logo.svg.png?auto=compress,format",,,,
2,learn-capital,Andela,andela,https://learn.vc/ventures,education,https://andela.com,"Andela connects companies with top software talent worldwide through a proprietary AI-matching platform that streamlines sourcing, vetting, and hiring. By leveraging machine learning to assess both technical skill and cultural fit, Andela enables faster, smarter hiring of remote engineers—helping companies build high-performing teams at scale.",,,,,"https://images.prismic.io/learn-site/c30a88f7-cb1b-49f8-8b52-6d80f957b93d_AND-Logo-Lockup-Green+Black-RGB.png?auto=compress,format",,,,Jeremy;Christina
3,learn-capital,Ascent,ascent,https://learn.vc/ventures,finance,https://www.ascentfunding.com/,"Ascent offers innovative, student-centric lending products that go beyond traditional credit metrics, empowering students to fund their education based on future potential and not just past financial history. With options including non-cosigned loans and income-based repayment models, Ascent is building a more equitable path to higher education and long-term financial wellness.",,,,,"https://images.prismic.io/learn-site/aFsGnXfc4bHWirxh_AscentLogo.png?auto=format,compress",,,,
4,learn-capital,Bloc,bloc,https://learn.vc/ventures,education,https://bloc.io,"Bloc offered intensive, mentor-led coding bootcamps designed to help adults transition into software development careers. Through fully online programs and one-on-one guidance from industry professionals, Bloc combined flexible learning with real-world project work, pioneering a scalable, outcomes-driven model for tech workforce development.",Acquired,,,,"https://images.prismic.io/learn-site/53a496cc-1e61-4699-8092-8dbeed192727_bloc.png?auto=compress,format",,,,
5,learn-capital,BloomBoard,bloomboard,https://learn.vc/ventures,education,https://bloomboard.com,"BloomBoard partners with school systems to offer educators fully accredited, on-the-job master’s degrees and credentialing programs, paid for by the district. Through a unique, competency-based model, teachers earn career-advancing qualifications by demonstrating skills in their daily work, helping districts retain talent while building a stronger, more future-ready workforce.",,,,,"https://images.prismic.io/learn-site/aFsHoHfc4bHWirxz_BloomBoard.png?auto=format,compress",,,,
6,learn-capital,Brainly,brainly,https://learn.vc/ventures,education,https://brainly.com,"Brainly combines community-driven knowledge sharing with advanced AI tools to help students get unstuck, understand faster, and build confidence across subjects. With over 350 million users globally, Brainly delivers instant, step-by-step help through an intelligent blend of human input and machine learning, transforming how students learn outside the classroom.",,,,,"https://images.prismic.io/learn-site/aFsKdXfc4bHWirye_Brainly.png?auto=format,compress",,,,
7,learn-capital,BrightBytes,brightbytes,https://learn.vc/ventures,education,https://www.google.com/,"BrightBytes is a comprehensive fully-managed data and analytics platform for K-12 educators that empowers school-wide improvement through predictive and actionable data-driven insights. The platform includes solutions data warehouses, dashboards, analytics, and usable insights.",Acquired,,,,"https://images.prismic.io/learn-site/aFxWw3fc4bHWiun5_BrightBytesLogo.png?auto=format,compress",,,,
8,learn-capital,Brilliant,brilliant,https://learn.vc/ventures,education,https://brilliant.org,"Brilliant helps learners master STEM concepts through hands-on, visual lessons that teach by doing, not just watching. With a focus on logic, math, data science, and engineering, Brilliant’s interactive courses empower students and professionals alike to think critically, solve problems, and build foundational skills for a rapidly evolving world.",,,,,"https://images.prismic.io/learn-site/Zv0UR7VsGrYSwRUl_BrilliantLogo.png?auto=format,compress",,,,
9,learn-capital,Class Technologies Inc.,class-technologies-inc,https://learn.vc/ventures,education,https://www.class.com/,"Class transforms virtual instruction by adding education-specific tools to Zoom, enabling more structured, interactive, and accountable online learning. Designed for K–12, higher ed, and workforce training, Class helps educators deliver engaging instruction at scale in a digital-first world.",,,,,"https://images.prismic.io/learn-site/aFsNFXfc4bHWiry__ClassLogo.png?auto=format,compress",,,,
10,learn-capital,ClassDojo,classdojo,https://learn.vc/ventures,education;community,https://classdojo.com,"ClassDojo helps educators create positive classroom cultures and keep families engaged through messaging, student portfolios, and real-time updates. Used by millions of teachers and parents around the world, ClassDojo makes school communities more connected, transparent, and supportive, both in and beyond the classroom.",,,,,"https://images.prismic.io/learn-site/aFsPv3fc4bHWirzi_ClassDojo.png?auto=format,compress",,,,
11,learn-capital,Climb Credit,climb-credit,https://learn.vc/ventures,education;finance,https://climbcredit.com/,"Climb Credit provides student loans and financing solutions for programs that deliver measurable career outcomes, ranging from tech bootcamps to trade schools. By aligning repayment with post-graduation earning potential, Climb helps learners access high-ROI training while enabling schools to scale programs that lead to real economic mobility.",,,,,"https://images.prismic.io/learn-site/ac7ef913-e499-4e98-ba19-657eda5f2298_climb.png?auto=compress,format",,,,
12,learn-capital,CodeHS,codehs,https://learn.vc/ventures,education,https://codehs.com/,"CodeHS equips middle and high schools with everything they need to teach computer science — standards-aligned curriculum, teacher tools, professional development, and student progress tracking. Designed to be accessible for both new and experienced educators, CodeHS is helping school systems nationwide build the next generation of programmers and problem-solvers.",,,,,"https://images.prismic.io/learn-site/be95efc1-3b35-49aa-9d10-470844f75469_CodeHS.png?auto=compress,format",,,,
13,learn-capital,Cohort Guidance,cohort-guidance,https://learn.vc/ventures,,https://bycohort.com/,"Cohort provides streamlined, group-based college counseling designed for high school students navigating the application process. Students work in small, live peer cohorts alongside recent graduates from top universities, receiving structured support through 1-on-1 mentoring, group workshops, proactive nudges, and deadline management, all for a flat annual membership.",,,,,"https://images.prismic.io/learn-site/aFxVu3fc4bHWiung_CohortLogo.png?auto=format,compress",,,,
14,learn-capital,Coursera,coursera,https://learn.vc/ventures,education,https://www.coursera.org/,"Coursera is a leading MOOC platform that partners with top universities and education institutions around the world to offer courses, certifiates, and degrees in a variety of fields. It offers both a consumer product and an enterprise product with curated course selections targeted at employees.",Public,,,,"https://images.prismic.io/learn-site/aFxVC3fc4bHWiunP_CourseraLogo.png?auto=format,compress",,,,
15,learn-capital,Creative Live,creative-live,https://learn.vc/ventures,education,https://www.creativelive.com/,"CreativeLive offers expert-led video courses in photography, design, business, and personal growth, built for creators, entrepreneurs, and lifelong learners. With a focus on practical skills and inspiring instruction, CreativeLive empowers millions to turn passion into profession through accessible, high-quality content taught by leading voices in their fields.",Acquired,,,,"https://images.prismic.io/learn-site/cd720a86-6f84-4e69-aa3f-46601828a96b_CreativeLive_black.png?auto=format,compress",,,,
16,learn-capital,Curio,curio,https://learn.vc/ventures,,https://curioxr.com/,"Curio empowers K–12 and higher-ed learners with interactive educational experiences — like dissecting virtual frogs or exploring historical sites — in a distraction‑free virtual environment. Built with an intuitive, iPad‑style interface, the Curio platform enables schools to incorporate STEM, history, and career simulations with zero training required.",,,,,"https://images.prismic.io/learn-site/aFsVdnfc4bHWir1R_CurioLogo.png?auto=format,compress",,,,
17,learn-capital,DIY,diy,https://learn.vc/ventures,education,https://www.diy.org,"DIY.org offers thousands of hands-on projects, challenges, and video courses that help kids explore interests ranging from animation to engineering. With a safe online community and built-in mentorship, DIY inspires self-directed learning while nurturing creativity, confidence, and curiosity in young makers around the world.",Acquired,,,,"https://images.prismic.io/learn-site/5bf9c4c1-00a1-4b0c-9acc-0876d88cbf7f_DIY.png?auto=compress,format",,,,
18,learn-capital,Desmos,desmos,https://learn.vc/ventures,education,https://www.desmos.com/,"Desmos builds powerful, intuitive digital math tools that help students explore concepts dynamically and deepen understanding. Trusted by millions of teachers and learners, Desmos brings math to life in classrooms and online through real-time feedback, accessibility features, and thoughtfully designed instructional content.",Acquired,,,,"https://images.prismic.io/learn-site/e152978d-9b01-4407-9a94-92a47890e260_Desmos.png?auto=compress,format",,,,
19,learn-capital,Dreambound,dreambound,https://learn.vc/ventures,education;finance,https://dreambound.com/,"Dreambound helps individuals discover and enroll in high-impact vocational programs through a personalized, AI-guided experience. Focused on accessibility and outcomes, Dreambound connects learners to healthcare, tech, and skilled trade training while providing coaching and accountability to help them stay on track and succeed.",,,,,"https://images.prismic.io/learn-site/aFxXYnfc4bHWiuoD_DreamboundLogo.png?auto=format,compress",,,,
