id,fund,name,slug,fund_url,sectors,website,description,stage,stage_year,founded_year,invested_year,logo_url,source_modified,ticker_symbol,acquirer,founders,pmo_score,pmo_traj,pmo_mat,pmo_collab,pmo_game,pmo_feedback,pmo_notes
78,a16z-speedrun,Spark Space,spark-space,https://speedrun.a16z.com/companies/spark-space,AI;Edtech,https://www.sparkspace.ai,"Spark Space: The AI Writing Tutor That Truly Connects with Students
Students LOVE Spark Space because it feels like a real tutor who understands them—their interests, their struggles, and their passions. More than just an AI, it bonds with them like a friend, making writing feel personal, engaging, and even fun. With a gamified experience inspired by Duolingo and their favorite video games, students see instant progress, keeping them motivated and excited to improve. And most importantly, Spark Space helps them get better at writing, giving immediate feedback so they can build confidence and earn higher grades.

Teachers LOVE Spark Space because it makes students actually excited to write. The AI tutor provides powerful insights into student writing, helping teachers focus on what matters most. And with automated draft grading, it saves hours of time—allowing teachers to spend less time grading and more time inspiring their students.",SR003,,2024.0,,https://speedrun-prod-media.s3.amazonaws.com/companies/d33e613c-f166-4dbe-bcdb-3f20dc673f77/logos/Square_PROFILE_PICTURE.jpg,,,,David Vinca;Kira Yang,6.4,5,9,1,8,9,"AI-тьютор по письму с глубокой адаптацией под интересы учащегося и геймификацией, но без компонентов совместной деятельности."
222,a16z-speedrun,Quinn,quinn,https://speedrun.a16z.com/companies/quinn,Enterprise SaaS;AI,https://meetquinn.ai,"Traction
• $200K → $1.1M+ ARR in ~5 months
• 65+ customers
• Growing ACV + multiple 6-figure deals
Why Now
• Frontline workforce (2.7B people) lacks scalable training infrastructure.
• Training is a $400B market, primarily to pay humans to train other humans.
• We're turning this massive services industry into software margins.

Team
• Ben Anderson (Amino: 20M+ users, $70M raised, acquired)
• Arlen Marmel (early Hulu + Crunchyroll, $1B+ exit)

Hit LIKE to get in touch!",SR006,,2025.0,,https://speedrun-prod-media.s3.amazonaws.com/companies/08ff4361-0f67-4d3c-b401-647b118c968b/logos/Quinn_icon.png,,,,Arlen Marmel;Ben Anderson,5.2,5,7,2,5,7,"Платформа использует ИИ для адаптации обучения, но персонализация траектории и геймификация не раскрыты, а социальные функции, вероятно, минимальны."
233,a16z-speedrun,Straia,straia,https://speedrun.a16z.com/companies/straia,AI;Edtech;Enterprise SaaS,https://straia.io,"$4.5M committed ARR* in 4 weeks.

Straia is the agentic AI platform replacing legacy software across higher education. We unify siloed institutional data and deploy AI agents to analyze and act on that data.

Building the AI-native operating system for every college in America.

*In contracting",SR006,,2025.0,,https://speedrun-prod-media.s3.amazonaws.com/companies/64d25e00-80d7-474d-a6c4-d66cb4136c00/logos/straia_logo_rounded_square.png,,,,Ryan Lau;Alan Chan;Gautam Narasimhan;Nikki Dansey,0.0,0,0,0,0,0,"Продукт не является образовательным, это корпоративная SaaS-платформа для управления данными вузов, а не для обучения."
269,a16z,AltSchool,altschool,https://a16z.com/portfolio/,,https://altitudelearning.com,"AltSchool is a collaborative community of micro-schools that uses outstanding teachers, deep research, and innovative tools to offer a personalized ?whole child? learning experience for the next generation.

They believe that every child should have access to an exceptional, personalized education that enables them to be happy and successful in an ever-changing world.",M&A,,,,https://d1lamhf6l6yk6d.cloudfront.net/uploads/2024/10/logo_001800000199MoY-20230417200529.svg,,,,Max Ventilla,7.0,9,9,7,2,8,"AltSchool сочетает персонализированные траектории и адаптивные материалы с сильной обратной связью, но геймификация отсутствует."
393,a16z,CodeCombat,codecombat,https://a16z.com/portfolio/,,https://codecombat.com,"CodeCombat is a multiplayer programming game for learning how to code. CodeCombat creates game-based computer science programs that engage and captivate students as they learn to type real code. With thousands of schools and millions of students, CodeCombat is bringing K12 computer science education to everyone, regardless of gender, race, or background.",Venture,,,,https://d1lamhf6l6yk6d.cloudfront.net/uploads/2024/10/logo_0018000001CIhyx-20230417220432.svg,,,,,7.0,5,5,7,10,8,"CodeCombat — это геймифицированная платформа для обучения программированию с многопользовательскими режимами и мгновенной обратной связью, но с ограниченными возможностями персонализации учебного пути и адаптации материалов."
501,a16z,Flash Hoops,flash-hoops,https://a16z.com/portfolio/,,https://www.flashhoops.com/,"Veronica Peterson, born in Gary, Indiana and raised in Chicago, was introduced to basketball by her father as a toddler. She committed and played the sport throughout high school, college, and eventually professionally abroad. While competing overseas, she developed an interest in business and decided to pursue a masters degree in computer science so she could build companies that had a purpose. As a result, she founded FlashHoops, a mobile platform that helps children learn math while receiving one-on-one basketball skill training from their favorite athlete.",,,,,https://d1lamhf6l6yk6d.cloudfront.net/uploads/2024/10/logo_0018b00002UG1jcAAD-20230817130650.svg,,,,,4.2,2,2,7,2,8,"Платформа успешно использует наставничество спортсменов для обратной связи и совместной деятельности, но слабо персонализирует учебную траекторию и материалы."
512,a16z,Formation,formation,https://a16z.com/portfolio/,,https://formation.dev,"Formation is a remote fellowship for ambitious software engineers looking to land the next step in their career. Fellows work directly with senior engineers from companies like Google, Uber, Oracle and more to build features and debug production issues in real consumer facing applications. They learn the computer sciencefundamentals they need to think like a software engineer and solve the world's most challenging problems.
Our unparalleled outcomes are a result of our relentless focus on engineering principles and building a community of the best engineers in the industry. Our fellows regularly get hired at companies like Facebook, Google, LinkedIn, etc.",Seed,,,,https://d1lamhf6l6yk6d.cloudfront.net/uploads/2024/10/logo_0011E00001jIJfO-20230418000606.svg,,,,,5.0,5,4,7,1,8,"Программа менторства с персонализированной обратной связью и сообществом, но без геймификации и с ограниченной адаптивностью материалов."
637,a16z,Labster,labster,https://a16z.com/announcement/investing-in-labster/,,https://www.labster.com/,Labster empowers educators to reimagine their science courses with immersive online simulations.,Growth,,2011.0,,https://d1lamhf6l6yk6d.cloudfront.net/uploads/2024/10/logo_0018000001UqTML-20230418003639.svg,,,,Michael Bodekaer Jensen;Mads Tvillinggaard Bonde,5.2,3,5,2,8,8,"Продукт является образовательным, основная ценность в геймифицированных симуляциях и обратной связи, но персонализация траектории и совместная деятельность выражены слабо."
677,a16z,Maven,maven,https://a16z.com/announcement/investing-in-maven/,,https://maven.com/,Maven is a developer of an online cohort-based leadership program designed to create a community where anyone can start their own course.,Venture,,,,https://d1lamhf6l6yk6d.cloudfront.net/uploads/2024/10/logo_0011E00001opCyB-20230418010523.svg,,,,Gagan Biyani;Wes Kao;Shreyans Bhansali,3.4,2,2,9,2,2,"Maven — образовательная платформа для когортного обучения, что обеспечивает сильное взаимодействие, но персонализация траектории и материалов отсутствует, а геймификация и автоматическая обратная связь не предусмотрены."
807,a16z,Prisms,prisms,https://a16z.com/portfolio/,,https://prismsvr.com/,Prisms is a spatial learning platform that enables learners to grasp abstract math and science concepts through embodied real world problems.,Venture,,,,https://d1lamhf6l6yk6d.cloudfront.net/uploads/2024/10/logo_0011E00001qBDuXQAW-20230808152054.svg,,,,Anurupa Ganguly,2.6,2,3,1,3,4,"Платформа предлагает иммерсивное изучение математики и науки через пространственные задачи, но практически не имеет персонализации учебного пути, ограничена в адаптации материалов и социальном взаимодействии."
