id,fund,name,slug,fund_url,sectors,website,description,stage,stage_year,founded_year,invested_year,logo_url,source_modified,ticker_symbol,acquirer,founders
1,new-schools,10story,10story-2,https://www.newschools.org/venture/10story-2/,Learning Solutions,https://10storylearning.com,"10story designs engaging, hands-on math projects for grades K-8, where students learn and apply mathematical concepts through role-playing adventures. These collaborative problem-solving activities drive the story forward, transforming the classroom into a space for connection, friendship, joy, achievement, and deep learning.",Past,,2019,2024,https://www.newschools.org/wp-content/uploads/2024/10/10story-1.png,,,,
2,new-schools,4th-Dimension Leaders,4th-dimension-leaders,https://www.newschools.org/venture/4th-dimension-leaders/,Diverse Leaders,https://4thdimensionleaders.org,"4th-Dimension’s BUILD Fellowship centers the understanding that parents of color play an outsized role in the long-term outcomes of their children. This initiative addresses the opportunity gaps parents of color experience when navigating their children’s education by building their knowledge, abilities, and capacities to maneuver within complex educational systems, institutions, and networks. Fellows in this cohort program explore broad themes around legislation, power, influence, and direct action before designing and deploying a solution to a key challenge faced by their neighborhood school. Parents emerge from BUILD Fellowship empowered to organize and advocate for themselves, their students, and their community.",,,2023,2023,https://www.newschools.org/wp-content/uploads/2023/09/4DL-logo-1024x956.png,,,,
3,new-schools,7 Generation Games,7-generation-games-2,https://www.newschools.org/venture/7-generation-games-2/,Learning Solutions,https://www.7generationgames.com/,"7 Generation Games is developing 7 Gen Ed Blocks, a no-code platform that enables educators to create interactive, culturally responsive literacy learning experiences in multiple languages. Since its founding, the organization has been focused on building narrative and gaming experiences that close equity gaps and improve outcomes for indigenous students and multilingual learners. Now they are working to adapt existing code libraries (originally used to develop proprietary games) into modularized, easily editable code blocks that educators can customize through a digital platform. This effort represents an attempt to scale their impact by putting more power into the hands of educators and enabling them to bring their content to life in engaging and culturally responsive ways.",,,2013,2022,,,,,
4,new-schools,A+ Unlimited Potential (A+UP),a-unlimited-potential-aup-2,https://www.newschools.org/venture/a-unlimited-potential-aup-2/,Innovative Schools,https://www.aplusup.org/,"A+UP is a free public charter school serving secondary students in Houston’s Midtown District. The school offers a small, personalized learning experience for families seeking a supportive and challenging environment. A+UP helps all students grow as learners and individuals.",Past,,,2024,https://www.newschools.org/wp-content/uploads/2024/10/A-Unlimited-Potential.png,,,,
5,new-schools,Academy of Visual and Performing Arts,academy-of-visual-and-performing-arts-2,https://www.newschools.org/venture/academy-of-visual-and-performing-arts-2/,Innovative Schools,https://www.facebook.com/AVPATexas,"Academy of Visual and Performing Arts (AVPA) is a creative arts public charter school, authorized by the Texas Education Agency, to serve students in Fort Worth, Texas. AVPA will open in 2023-2024 with 320 6-7 grade students. At capacity, AVPA will serve 1120 students in grades 6-12. AVPA is governed by Illumination Education, Inc., which holds the charter on behalf of the public. The Board of Directors consists of eight (8) diverse community members.",,,2010,2022,,,,,
6,new-schools,Acuarela Curriculum Cooperative,acuarela-curriculum-cooperative,https://www.newschools.org/venture/acuarela-curriculum-cooperative/,Learning Solutions,https://www.acuarelacurriculum.org/,"Acuarela Curriculum Cooperative is creating culturally sustaining, interdisciplinary bilingual curricula that interweaves and aligns to both literacy and rich content standards (science, social studies, arts), beginning in early childhood. We provide wraparound professional learning for teachers and leaders to support implementation of our comprehensive curriculum and build knowledge of the research behind its design, and we license our training as curricula for teacher preparation programs to better prepare novice teachers to deeply understand and provide high quality instruction as a lever for equity.",,,,,https://www.newschools.org/wp-content/uploads/2023/09/Acuarela-Logo-v1-1024x727.png,,,,
7,new-schools,Admissions Gambit,admissions-gambit-2,https://www.newschools.org/venture/admissions-gambit-2/,Racial Equity,https://admissionsgambit.com/,"Admissions Gambit aims to increase the number of underrepresented minorities and first-generation applicants to colleges that match their academic and extracurricular backgrounds. They support students and families by providing one-on-one guidance and support throughout the entire application process, given that many students lack sufficient access to school counselors, with the national average counselor to student ratio of 415-to-1.",,,,2022,,,,,
8,new-schools,Advance Rural Education Foundation,advance-rural-education-foundation-2,https://www.newschools.org/venture/advance-rural-education-foundation-2/,Innovative Schools,,"2648 International Blvd Ste 301, Oakland, CA 94601  |    EIN: 94-3281780   |info@newschools.org|Accessibility Statement",Past,,,2024,https://www.newschools.org/wp-content/uploads/2024/10/Advance-Rural-Education-Foundation-1.png,,,,
9,new-schools,AI for Equity,ai-for-equity-2,https://www.newschools.org/venture/ai-for-equity-2/,Learning Solutions,https://www.ai-for-equity.org,AI for Equity supports and convenes cohorts of school system leaders to leverage AI in service of a more equitable future for all students.,Past,,2023,2024,https://www.newschools.org/wp-content/uploads/2024/10/AI-for-Equity-1.png,,,,
10,new-schools,AI-Learners,ai-learners-2,https://www.newschools.org/venture/ai-learners-2/,Learning Solutions,https://ai-learners.com/,AI-Learners is an edtech tool that helps students of all abilities learn early math and literacy through personalized games and analytics. It supports teachers by reducing time spent preparing accessible materials and provides comprehensive learning data insights for both parents and educators.,Past,,2021,2024,https://www.newschools.org/wp-content/uploads/2024/10/AI-Learners-1.png,,,,
11,new-schools,AIM – Academy for Innovation in Medicine,aim-academy-for-innovation-in-medicine,https://www.newschools.org/venture/aim-academy-for-innovation-in-medicine/,Innovative Schools,https://www.aimgeorgia.org,"The Academy for Innovation in Medicine (AIM) is a STEMM (Science, Technology, Engineering, Mathematics, and Medicine) middle and high school launching in Fall 2026 to address Atlanta’s healthcare workforce shortage. AIM prepares students for high-demand healthcare careers.",,,,2025,https://www.newschools.org/wp-content/uploads/2025/10/Academy-For-Innovation-in-Medicine.png,,,,
12,new-schools,Albuquerque Public Schools,albuquerque-public-schools-2,https://www.newschools.org/venture/albuquerque-public-schools-2/,Innovative Schools,https://www.aps.edu/,"2648 International Blvd Ste 301, Oakland, CA 94601  |    EIN: 94-3281780   |info@newschools.org|Accessibility Statement",Past,,,2024,https://www.newschools.org/wp-content/uploads/2024/10/Albuquerque-Public-Schools-1.png,,,,
13,new-schools,ALL in Education,all-in-education-3,https://www.newschools.org/venture/all-in-education-3/,Teaching Reimagined,https://allineducation.org/,"ALL In Education ensures that communities most impacted by educational inequities lead decisions affecting all students. By engaging families and caregivers, the organization creates high-quality learning environments that drive multigenerational change and long-term opportunity.",Past,,2020,2021,https://www.newschools.org/wp-content/uploads/2025/10/ALL-in-Education-1.png,,,,
14,new-schools,All Means All,all-means-all,https://www.newschools.org/venture/all-means-all/,Learning Differences,https://www.amaleaders.org/,"All Means All builds partnerships with school and system leaders to increase equitable outcomes and opportunities for students with disabilities and other intersectional identities that have been historically marginalized. Our flagship AMA School Leadership Program is a 15-month cohort-based fellowship for school leaders along with their school and/or network based teams that pairs repeated practicing of key adaptive skills (mindsets, adult culture and problem solving) and the technical levers to address inequity in schools with the deep coaching, feedback and collaboration to sustain it. Leaders in the program will work to shrink key academic and/or social emotional opportunity gaps rooted in systemic racism and ableism for students with disabilities with a particular focus on Black and Latino students from low-income backgrounds.",Past,,2021,2022,https://www.newschools.org/wp-content/uploads/2022/12/All-Means-All.png,,,,
15,new-schools,American Indian Science and Engineering Society (AISES),american-indian-science-and-engineering-society-aises,https://www.newschools.org/venture/american-indian-science-and-engineering-society-aises/,Diverse Leaders,https://www.aises.org,"The American Indian Science and Engineering Society (AISES) is a national nonprofit organization focused on substantially increasing the representation of Indigenous peoples of North America and the Pacific Islands in science, technology, engineering, and math (STEM) studies and careers. AISES is launching the The Indigenous Knowledge to Grow Successful STEM Teachers initiative to address the lack of Native STEM teachers in education. This initiative will target three distinct prospective teacher populations including: Indigenous STEM professionals interested in changing careers, Native secondary and college students interested in STEM education careers, and Indigenous paraprofessionals looking to become certified teachers.",,,2023,2023,https://www.newschools.org/wp-content/uploads/2023/09/AISES-Logo-1-1024x1024.jpg,,,,
16,new-schools,ARCADIA SCHOOLS,arcadia-schools-2,https://www.newschools.org/venture/arcadia-schools-2/,Innovative Schools,https://arcadia-schools.org/,"Arcadia High School provides a collaborative, student-centered learning environment where team teaching, personalized support, and ongoing teacher development prepare every student for success in college, career, and community.",,,,2025,https://www.newschools.org/wp-content/uploads/2025/10/ARCADIA-SCHOOLS-1.png,,,,
17,new-schools,Aventura Community School,aventura-community-school-2,https://www.newschools.org/venture/aventura-community-school-2/,Innovative Schools,https://www.aventuranashville.org/,"Aventura Community School is a public school that launched in Nashville, TN in Fall 2022. The school intends to serve 930 students at full enrollment across grades K-8. The mission of Aventura Community School to elevate peace and justice by inspiring our diverse community to live as curious global citizens dedicated to changing the world. Following their K-8 journey at Aventura Community School, students will graduate with academic mastery, global competence including biliteracy in English and Spanish, and a track record of positive contribution to their community that together ensure they are prepared for success in high school, college, and a meaningful life",,,2020,2022,,,,,
18,new-schools,Barbershop Books,barbershop-books-2,https://www.newschools.org/venture/barbershop-books-2/,Learning Solutions,https://barbershopbooks.org,"Reading So Lit, developed by Barbershop Books, uses social-emotional learning and multimedia to help preK-5 learners build vocabulary and express their reading preferences. This AI-powered platform delivers meaningful reading experiences, while strengths-based assessments and actionable data help educators personalize instruction and accelerate learning through student-driven decisions.",Past,,2020,2024,https://www.newschools.org/wp-content/uploads/2024/10/Barbershop-Books-1.png,,,,
